STATE,COUNTY,STNAME,VOLOVERALLFEMALE1112ALL,VOLOVERALLFEMALE1112AA,VOLOVERALLFEMALE1112HISP,VOLOVERALLFEMALE1112OTHER,VOLOVERALLMALE1112ALL,VOLOVERALLMALE1112AA,VOLOVERALLMALE1112HISP,VOLOVERALLMALE1112OTHER,VOLOVERALLFEMALE1826ALL,VOLOVERALLFEMALE1826AA,VOLOVERALLFEMALE1826HISP,VOLOVERALLFEMALE1826OTHER,VOLOVERALLMALE1826ALL,VOLOVERALLMALE1826AA,VOLOVERALLMALE1826HISP,VOLOVERALLMALE1826OTHER,VOLLOWINCOMEFEMALE1112ALL,VOLLOWINCOMEFEMALE1112AA,VOLLOWINCOMEFEMALE1112HISP,VOLLOWINCOMEFEMALE1112OTHER,VOLLOWINCOMEMALE1112ALL,VOLLOWINCOMEMALE1112AA,VOLLOWINCOMEMALE1112HISP,VOLLOWINCOMEMALE1112OTHER,VOLLOWINCOMEFEMALE1826ALL,VOLLOWINCOMEFEMALE1826AA,VOLLOWINCOMEFEMALE1826HISP,VOLLOWINCOMEFEMALE1826OTHER,VOLLOWINCOMEMALE1826ALL,VOLLOWINCOMEMALE1826AA,VOLLOWINCOMEMALE1826HISP,VOLLOWINCOMEMALE1826OTHER,VOLLOWINSUREDFEMALE1112ALL,VOLLOWINSUREDFEMALE1112AA,VOLLOWINSUREDFEMALE1112HISP,VOLLOWINSUREDFEMALE1112OTHER,VOLLOWINSUREDMALE1112ALL,VOLLOWINSUREDMALE1112AA,VOLLOWINSUREDMALE1112HISP,VOLLOWINSUREDMALE1112OTHER,VOLLOWINSUREDFEMALE1826ALL,VOLLOWINSUREDFEMALE1826AA,VOLLOWINSUREDFEMALE1826HISP,VOLLOWINSUREDFEMALE1826OTHER,VOLLOWINSUREDMALE1826ALL,VOLLOWINSUREDMALE1826AA,VOLLOWINSUREDMALE1826HISP,VOLLOWINSUREDMALE1826OTHER,VOLOVERALLBOTH1112ALL,VOLOVERALLBOTH1112AA,VOLOVERALLBOTH1112HISP,VOLOVERALLBOTH1112OTHER,VOLOVERALLBOTH1826ALL,VOLOVERALLBOTH1826AA,VOLOVERALLBOTH1826HISP,VOLOVERALLBOTH1826OTHER,VOLLOWINCOMEBOTH1112ALL,VOLLOWINCOMEBOTH1112AA,VOLLOWINCOMEBOTH1112HISP,VOLLOWINCOMEBOTH1112OTHER,VOLLOWINCOMEBOTH1826ALL,VOLLOWINCOMEBOTH1826AA,VOLLOWINCOMEBOTH1826HISP,VOLLOWINCOMEBOTH1826OTHER,VOLLOWINSUREDBOTH1112ALL,VOLLOWINSUREDBOTH1112AA,VOLLOWINSUREDBOTH1112HISP,VOLLOWINSUREDBOTH1112OTHER,VOLLOWINSUREDBOTH1826ALL,VOLLOWINSUREDBOTH1826AA,VOLLOWINSUREDBOTH1826HISP,VOLLOWINSUREDBOTH1826OTHER,NORMOVERALLFEMALE1112ALL,NORMOVERALLFEMALE1112AA,NORMOVERALLFEMALE1112HISP,NORMOVERALLFEMALE1112OTHER,NORMOVERALLMALE1112ALL,NORMOVERALLMALE1112AA,NORMOVERALLMALE1112HISP,NORMOVERALLMALE1112OTHER,NORMOVERALLFEMALE1826ALL,NORMOVERALLFEMALE1826AA,NORMOVERALLFEMALE1826HISP,NORMOVERALLFEMALE1826OTHER,NORMOVERALLMALE1826ALL,NORMOVERALLMALE1826AA,NORMOVERALLMALE1826HISP,NORMOVERALLMALE1826OTHER,NORMLOWINCOMEFEMALE1112ALL,NORMLOWINCOMEFEMALE1112AA,NORMLOWINCOMEFEMALE1112HISP,NORMLOWINCOMEFEMALE1112OTHER,NORMLOWINCOMEMALE1112ALL,NORMLOWINCOMEMALE1112AA,NORMLOWINCOMEMALE1112HISP,NORMLOWINCOMEMALE1112OTHER,NORMLOWINCOMEFEMALE1826ALL,NORMLOWINCOMEFEMALE1826AA,NORMLOWINCOMEFEMALE1826HISP,NORMLOWINCOMEFEMALE1826OTHER,NORMLOWINCOMEMALE1826ALL,NORMLOWINCOMEMALE1826AA,NORMLOWINCOMEMALE1826HISP,NORMLOWINCOMEMALE1826OTHER,NORMLOWINSUREDFEMALE1112ALL,NORMLOWINSUREDFEMALE1112AA,NORMLOWINSUREDFEMALE1112HISP,NORMLOWINSUREDFEMALE1112OTHER,NORMLOWINSUREDMALE1112ALL,NORMLOWINSUREDMALE1112AA,NORMLOWINSUREDMALE1112HISP,NORMLOWINSUREDMALE1112OTHER,NORMLOWINSUREDFEMALE1826ALL,NORMLOWINSUREDFEMALE1826AA,NORMLOWINSUREDFEMALE1826HISP,NORMLOWINSUREDFEMALE1826OTHER,NORMLOWINSUREDMALE1826ALL,NORMLOWINSUREDMALE1826AA,NORMLOWINSUREDMALE1826HISP,NORMLOWINSUREDMALE1826OTHER,NORMOVERALLBOTH1112ALL,NORMOVERALLBOTH1112AA,NORMOVERALLBOTH1112HISP,NORMOVERALLBOTH1112OTHER,NORMOVERALLBOTH1826ALL,NORMOVERALLBOTH1826AA,NORMOVERALLBOTH1826HISP,NORMOVERALLBOTH1826OTHER,NORMLOWINCOMEBOTH1112ALL,NORMLOWINCOMEBOTH1112AA,NORMLOWINCOMEBOTH1112HISP,NORMLOWINCOMEBOTH1112OTHER,NORMLOWINCOMEBOTH1826ALL,NORMLOWINCOMEBOTH1826AA,NORMLOWINCOMEBOTH1826HISP,NORMLOWINCOMEBOTH1826OTHER,NORMLOWINSUREDBOTH1112ALL,NORMLOWINSUREDBOTH1112AA,NORMLOWINSUREDBOTH1112HISP,NORMLOWINSUREDBOTH1112OTHER,NORMLOWINSUREDBOTH1826ALL,NORMLOWINSUREDBOTH1826AA,NORMLOWINSUREDBOTH1826HISP,NORMLOWINSUREDBOTH1826OTHER,VOLOVERALLFEMALE5059ALL,VOLOVERALLFEMALE5059AA,VOLOVERALLFEMALE5059HISP,VOLOVERALLFEMALE5059OTHER,VOLOVERALLMALE5059ALL,VOLOVERALLMALE5059AA,VOLOVERALLMALE5059HISP,VOLOVERALLMALE5059OTHER,VOLOVERALLFEMALE2549ALL,VOLOVERALLFEMALE2549AA,VOLOVERALLFEMALE2549HISP,VOLOVERALLFEMALE2549OTHER,VOLOVERALLMALE2549ALL,VOLOVERALLMALE2549AA,VOLOVERALLMALE2549HISP,VOLOVERALLMALE2549OTHER,VOLLOWINCOMEFEMALE5059ALL,VOLLOWINCOMEFEMALE5059AA,VOLLOWINCOMEFEMALE5059HISP,VOLLOWINCOMEFEMALE5059OTHER,VOLLOWINCOMEMALE5059ALL,VOLLOWINCOMEMALE5059AA,VOLLOWINCOMEMALE5059HISP,VOLLOWINCOMEMALE5059OTHER,VOLLOWINCOMEFEMALE2549ALL,VOLLOWINCOMEFEMALE2549AA,VOLLOWINCOMEFEMALE2549HISP,VOLLOWINCOMEFEMALE2549OTHER,VOLLOWINCOMEMALE2549ALL,VOLLOWINCOMEMALE2549AA,VOLLOWINCOMEMALE2549HISP,VOLLOWINCOMEMALE2549OTHER,VOLLOWINSUREDFEMALE5059ALL,VOLLOWINSUREDFEMALE5059AA,VOLLOWINSUREDFEMALE5059HISP,VOLLOWINSUREDFEMALE5059OTHER,VOLLOWINSUREDMALE5059ALL,VOLLOWINSUREDMALE5059AA,VOLLOWINSUREDMALE5059HISP,VOLLOWINSUREDMALE5059OTHER,VOLLOWINSUREDFEMALE2549ALL,VOLLOWINSUREDFEMALE2549AA,VOLLOWINSUREDFEMALE2549HISP,VOLLOWINSUREDFEMALE2549OTHER,VOLLOWINSUREDMALE2549ALL,VOLLOWINSUREDMALE2549AA,VOLLOWINSUREDMALE2549HISP,VOLLOWINSUREDMALE2549OTHER,VOLOVERALLBOTH5059ALL,VOLOVERALLBOTH5059AA,VOLOVERALLBOTH5059HISP,VOLOVERALLBOTH5059OTHER,VOLOVERALLBOTH2549ALL,VOLOVERALLBOTH2549AA,VOLOVERALLBOTH2549HISP,VOLOVERALLBOTH2549OTHER,VOLLOWINCOMEBOTH5059ALL,VOLLOWINCOMEBOTH5059AA,VOLLOWINCOMEBOTH5059HISP,VOLLOWINCOMEBOTH5059OTHER,VOLLOWINCOMEBOTH2549ALL,VOLLOWINCOMEBOTH2549AA,VOLLOWINCOMEBOTH2549HISP,VOLLOWINCOMEBOTH2549OTHER,VOLLOWINSUREDBOTH5059ALL,VOLLOWINSUREDBOTH5059AA,VOLLOWINSUREDBOTH5059HISP,VOLLOWINSUREDBOTH5059OTHER,VOLLOWINSUREDBOTH2549ALL,VOLLOWINSUREDBOTH2549AA,VOLLOWINSUREDBOTH2549HISP,VOLLOWINSUREDBOTH2549OTHER,NORMOVERALLFEMALE5059ALL,NORMOVERALLFEMALE5059AA,NORMOVERALLFEMALE5059HISP,NORMOVERALLFEMALE5059OTHER,NORMOVERALLMALE5059ALL,NORMOVERALLMALE5059AA,NORMOVERALLMALE5059HISP,NORMOVERALLMALE5059OTHER,NORMOVERALLFEMALE2549ALL,NORMOVERALLFEMALE2549AA,NORMOVERALLFEMALE2549HISP,NORMOVERALLFEMALE2549OTHER,NORMOVERALLMALE2549ALL,NORMOVERALLMALE2549AA,NORMOVERALLMALE2549HISP,NORMOVERALLMALE2549OTHER,NORMLOWINCOMEFEMALE5059ALL,NORMLOWINCOMEFEMALE5059AA,NORMLOWINCOMEFEMALE5059HISP,NORMLOWINCOMEFEMALE5059OTHER,NORMLOWINCOMEMALE5059ALL,NORMLOWINCOMEMALE5059AA,NORMLOWINCOMEMALE5059HISP,NORMLOWINCOMEMALE5059OTHER,NORMLOWINCOMEFEMALE2549ALL,NORMLOWINCOMEFEMALE2549AA,NORMLOWINCOMEFEMALE2549HISP,NORMLOWINCOMEFEMALE2549OTHER,NORMLOWINCOMEMALE2549ALL,NORMLOWINCOMEMALE2549AA,NORMLOWINCOMEMALE2549HISP,NORMLOWINCOMEMALE2549OTHER,NORMLOWINSUREDFEMALE5059ALL,NORMLOWINSUREDFEMALE5059AA,NORMLOWINSUREDFEMALE5059HISP,NORMLOWINSUREDFEMALE5059OTHER,NORMLOWINSUREDMALE5059ALL,NORMLOWINSUREDMALE5059AA,NORMLOWINSUREDMALE5059HISP,NORMLOWINSUREDMALE5059OTHER,NORMLOWINSUREDFEMALE2549ALL,NORMLOWINSUREDFEMALE2549AA,NORMLOWINSUREDFEMALE2549HISP,NORMLOWINSUREDFEMALE2549OTHER,NORMLOWINSUREDMALE2549ALL,NORMLOWINSUREDMALE2549AA,NORMLOWINSUREDMALE2549HISP,NORMLOWINSUREDMALE2549OTHER,NORMOVERALLBOTH5059ALL,NORMOVERALLBOTH5059AA,NORMOVERALLBOTH5059HISP,NORMOVERALLBOTH5059OTHER,NORMOVERALLBOTH2549ALL,NORMOVERALLBOTH2549AA,NORMOVERALLBOTH2549HISP,NORMOVERALLBOTH2549OTHER
1,1,Alabama,846.4,161.2,28.8,812.4,838.8,174.4,30,634.4,2760,617.6,67.2,2680,2862.4,633.6,94.4,2134.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,858,166,26,36,674,145,20,22,,,,,,,,,,,,,,,,,0.006700747,0.008249124,0.000330629,0.00166113,0.006517312,0.008732738,0.000318776,0.001584089,0.004342066,0.006840736,0.00021786,0.000701262,0.00434744,0.007621009,0.000251463,0.000815993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006609029,0.008490931,0.000324702,0.001622609,0.004344753,0.007230873,0.000234661,0.000758628,,,,,,,,,,,,,,,,,2445.270683,424.0861795,86.4635809,2260.711592,2446.764329,449.4883119,90.3123171,1682.942113,7417.390534,1600.533517,181.2399592,7694.445753,8356.591318,1689.274047,285.5312608,6307.751072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2502.569012,452.7462455,66.04610196,109.5976899,1760.623299,437.4771591,51.48341533,58.80265106,,,,,,,,,,,,,,,,,0.007746473,0.008178191,0.000437263,0.020251629,0.007512872,0.009434304,0.000384071,0.039466197,0.004054099,0.006803694,0.000175,0.014274023,0.00448371,0.007274421,0.000318457,0.027784598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006776844,0.008495917,0.000298942,0.001889797,0.003979885,0.008643802,0.000226598,0.000696144
1,3,Alabama,2550.4,264,157.6,2329.2,2609.6,288,141.2,2180.4,8699.2,1193.6,412.8,8115.2,9128,1444.8,572.8,7110.4,425,166,0,259,881,312,60,509,2023,670,280,1073,1908,471,68,1369,378,166,0,212,486,293,25,168,1319,403,230,686,257,0,20,237,2489,285,143,120,2082,300,141,90,1306,478,60,768,3931,1141,348,2442,864,459,25,380,1576,403,250,923,0.019252851,0.01453908,0.001805743,0.005721669,0.019084257,0.014622258,0.001765528,0.005104286,0.013472209,0.013777821,0.001379778,0.003295933,0.013371865,0.016168898,0.001920263,0.002923977,0.013285817,0.024538064,0,0.064636885,0.025700935,0.046222222,0.002306894,0.105404846,0.01341962,0.023744551,0.003894623,0.019615568,0.014392072,0.02337121,0.001151294,0.027429987,0.014487754,0.027722111,0,0.06002265,0.017453135,0.048206647,0.001120674,0.046447332,0.025250929,0.021928393,0.006685269,0.075679317,0.00761008,0,0.000934579,0.029299048,0.019168554,0.014580669,0.001785635,0.005412977,0.013422037,0.014973359,0.001650021,0.003109955,0.019493376,0.035380143,0.001153447,0.085020866,0.013905846,0.023557881,0.002522958,0.023522778,0.015970445,0.037964379,0.000560337,0.053234991,0.016430504,0.010964196,0.003809924,0.052489183,6388.870737,731.4675573,441.5287734,6551.156885,7025.674519,868.7205672,363.5233332,6367.676589,22070.14952,3502.945492,1153.882009,21656.89938,25142.7874,4266.930711,1665.207936,17933.37163,1269.454482,507.1957265,0,719.4878915,2296.493187,840.0854056,166.7360822,1479.295585,5694.949877,2012.845477,774.6183736,2911.705028,5198.106324,1293.797371,170.368145,3843.171021,1128.195844,446.1555868,0,582.5266341,1311.574977,832.9337813,69.08540372,480.9196502,3723.312039,1101.808681,641.5106522,2089.39102,663.5225272,0,53.04229529,636.5889566,7605.277475,719.5799171,376.7221994,323.5873886,6270.704229,761.9776669,387.9794552,243.1128794,3975.849532,1290.007582,175.7780027,2218.34265,11230.63928,3279.331332,1058.257516,6932.7488,2261.183221,1356.58037,71.00357389,970.9611107,4764.803019,1187.579868,678.8608232,2488.714295,0.020239565,0.014105816,0.002232896,0.058685769,0.02157257,0.018233564,0.001545954,0.080757667,0.012062809,0.014890642,0.001114154,0.040175873,0.013490306,0.018374431,0.001857231,0.047487089,0.014274594,0.027097628,0,0.065599864,0.02548731,0.042170973,0.002385883,0.107083738,0.013558243,0.025380126,0.00366173,0.017948919,0.013908441,0.022141313,0.000981363,0.031057652,0.016021753,0.027648054,0,0.055096553,0.017622919,0.045569286,0.001178789,0.051561805,0.024569617,0.019864846,0.006507383,0.07850543,0.007010406,0,0.000875653,0.027381137,0.020594748,0.01350313,0.001705146,0.00557963,0.014174911,0.015055379,0.001707647,0.00287813
1,5,Alabama,318,171.6,17.2,299.6,322.4,174.4,16,132,1198.4,723.2,28.8,1163.2,1708.8,995.2,36.8,676.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,178,15,7,362,206,22,10,,,,,,,,,,,,,,,,,0.002469524,0.009074036,0.000203464,0.000276855,0.002519424,0.009138911,0.000171649,0.00035202,0.001915231,0.007996917,0.000193653,0.000280505,0.002737747,0.012667353,0.000320044,0.000407997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002494474,0.009106474,0.000187556,0.000314437,0.002326489,0.010332135,0.000256848,0.000344251,,,,,,,,,,,,,,,,,905.8573429,513.8725573,47.61426907,842.8906321,808.1019669,459.7589361,47.2194959,359.9266617,3070.725086,2177.774491,80.47566694,3231.376941,4814.014386,2959.666405,93.18464094,1701.513559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,842.0984206,446.922382,37.56303922,20.16491594,1025.323823,518.8267574,57.15183453,28.78599805,,,,,,,,,,,,,,,,,0.002869703,0.009909656,0.000240795,0.007550679,0.002481304,0.009649874,0.00020081,0.027805076,0.001678356,0.009257483,7.77049E-05,0.005994551,0.002582948,0.012745036,0.00010393,0.019978188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002280365,0.008386631,0.00017002,0.000347704,0.002317742,0.010251132,0.000251547,0.000340788
1,7,Alabama,250.8,42,6.4,244,299.6,55.6,4.8,239.2,1043.2,249.6,8,1033.6,1316.8,467.2,40,809.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283,55,6.00E+00,5,300,91,7.00E+00,5,,,,,,,,,,,,,,,,,0.002060558,0.002474737,7.63E-05,0.00018457,0.002293128,0.003147847,7.36E-05,0.000264015,0.001770933,0.003179497,2.42E-05,0.000140252,0.002091334,0.005973223,0.000137162,0.000203998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002176843,0.002811292,7.49E-05,0.000224292,0.001931134,0.00457636,8.07E-05,0.000172125,,,,,,,,,,,,,,,,,709.6999694,127.4634145,18.11209325,705.4449562,809.3962646,159.5992135,14.40263684,654.9102125,2638.180479,713.8214584,23.34676111,3005.111118,3422.735597,1343.673933,114.021839,2422.844647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782.1342365,164.5710743,17.85955095,14.65704338,788.2924871,237.8890407,19.12059151,12.57955617,,,,,,,,,,,,,,,,,0.002248288,0.002458038,9.15964E-05,0.00631943,0.002485279,0.003349826,6.125E-05,0.030405075,0.001441942,0.003034378,2.25429E-05,0.005574804,0.001836461,0.005786184,0.00012717,0.021200662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002117984,0.003088225,8.08371E-05,0.000252732,0.001781933,0.004700282,8.41571E-05,0.000148925
1,9,Alabama,795.2,13.6,112.4,682,792.4,14,107.6,670.8,2649.6,27.2,280,2364.8,2825.6,65.6,358.4,2401.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812,14,104,25,662,12,80,15,,,,,,,,,,,,,,,,,0.006244593,0.000721798,0.001297083,0.001199705,0.006260843,0.000710804,0.001299625,0.001056059,0.004263357,0.000385394,0.000798819,0.00056101,0.004271392,0.000823893,0.001074433,0.000475996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006252718,0.000716301,0.001298354,0.001127882,0.004267375,0.000604643,0.000936626,0.000518503,,,,,,,,,,,,,,,,,2070.10711,37.03408619,296.5524667,1771.492622,2279.183247,36.7376965,294.3671075,1974.871953,7820.416681,74.57408291,840.9772418,6381.765359,7756.035467,172.6164774,965.8394831,6914.193648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2387.320652,36.08780137,267.8294541,63.35210573,1691.913214,34.93140568,220.611035,44.76133585,,,,,,,,,,,,,,,,,0.006557977,0.000714175,0.001499723,0.015869168,0.006998309,0.000771087,0.001251854,0.04203928,0.00427438,0.000317006,0.000812022,0.01183886,0.004161483,0.000743328,0.001077215,0.028812365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006464757,0.000677198,0.001212268,0.001092383,0.003824566,0.000690185,0.000970994,0.000529914
1,11,Alabama,113.6,84,16.4,97.2,118.4,93.2,15.2,10,488,420.8,30.4,456,680,529.6,38.4,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,96,13,5,143,110,16,5,,,,,,,,,,,,,,,,,0.001006685,0.005052588,0.000178031,0.000276855,0.000920269,0.004772543,0.000147127,0.00017601,0.000826435,0.004913768,0.00014524,0.000140252,0.00101398,0.00607621,0.000228603,0.000203998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000963477,0.004912565,0.000162579,0.000226432,0.000920208,0.005494989,0.000186921,0.000172125,,,,,,,,,,,,,,,,,342.2176068,239.7484638,49.61780104,267.6677943,350.0430097,281.0934539,40.78889747,26.50781609,1267.187028,1201.017485,78.49944699,1195.244955,1986.701685,1324.230527,96.61941252,287.8391986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.070913,280.3235885,37.60061094,13.26315741,395.5582395,329.8042727,45.22150256,13.63942282,,,,,,,,,,,,,,,,,0.001084125,0.004623373,0.000250927,0.002397789,0.001074819,0.005899867,0.000173463,0.024866307,0.000692602,0.005105395,7.57967E-05,0.002217308,0.00106596,0.005702456,0.000107761,0.017582367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000912773,0.005260355,0.00017019,0.000228697,0.000894158,0.00651637,0.000199037,0.000161472
1,13,Alabama,256.8,140,3.6,249.6,297.2,164.8,4.4,128,950.4,531.2,3.2,940.8,945.6,505.6,16,424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284,153,3.00E+00,9,242,132,5.00E+00,4,,,,,,,,,,,,,,,,,0.002139206,0.007321097,5.09E-05,0.00036914,0.002232783,0.008326564,2.45E-05,0.000440025,0.001652871,0.006744388,4.84E-05,0.000140252,0.001470271,0.00638517,6.86E-05,0.000135999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002185994,0.00782383,3.77E-05,0.000404582,0.001561571,0.006564779,5.85E-05,0.000138126,,,,,,,,,,,,,,,,,666.2807155,391.9259875,9.640777386,731.1906176,847.0230558,492.5650335,11.82292378,349.2037894,2852.479675,1603.124715,9.394383405,2451.878511,2538.869633,1289.460724,40.86803915,1151.114845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825.6653745,452.3988313,8.985872862,26.71786288,729.1524882,392.8427026,14.90851225,12.13683945,,,,,,,,,,,,,,,,,0.002110738,0.007558005,4.87553E-05,0.006550062,0.002600813,0.010338441,5.02793E-05,0.027710564,0.00155907,0.006814709,9.07093E-06,0.004548498,0.001362225,0.005552728,4.55807E-05,0.019045401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002235865,0.008489398,4.06725E-05,0.000460697,0.001648247,0.007761902,6.56181E-05,0.000143684
1,15,Alabama,1438,346.4,75.2,1351.6,1516.8,352,78.4,1086.4,6846.4,2001.6,211.2,6608,6550.4,1896,284.8,4369.6,478,168,29,281,575,330,43,245,2471,949,147,1432,1344,468,0,876,456,165,29,262,463,309,43,154,806,536,57,270,227,82,0,145,1525,364,71,62,1777,506,69,47,1053,498,72,526,3815,1417,147,2308,919,474,72,416,1033,618,57,415,0.011765631,0.018457414,0.000890155,0.003045404,0.011722109,0.01878554,0.000882764,0.002552143,0.011898047,0.025532325,0.000750405,0.001753156,0.011027035,0.024819773,0.000868691,0.001495988,0.014942637,0.024833703,0.001148106,0.070127277,0.016650893,0.048888889,0.001653274,0.050735142,0.016755907,0.033632208,0.002044677,0.027059531,0.009548917,0.023222349,0,0.016524355,0.017477291,0.02755511,0.001371612,0.074178935,0.016627164,0.050839092,0.00192756,0.042576721,0.015114992,0.029165306,0.001656784,0.028969234,0.006721744,0.010878217,0,0.017925578,0.01174387,0.018621477,0.000886459,0.002798774,0.011462541,0.025176049,0.000809548,0.001624572,0.015796765,0.036861296,0.00140069,0.06043121,0.013152412,0.028427278,0.001022338,0.021791943,0.017052227,0.039197101,0.001649586,0.058377828,0.010918368,0.020021762,0.000828392,0.023447406,3830.526607,941.4900973,219.2013717,3604.598124,4364.569738,1029.829305,219.7163233,2785.208988,19786.93091,6060.086728,574.4448078,18787.59666,17574.32688,5790.270948,821.0009848,11944.07003,1377.445128,489.7247345,87.4207362,786.3805972,1701.136555,1005.916969,114.3575059,658.869337,7320.36843,2544.406099,433.407664,3903.62288,3755.98967,1378.461333,0,2298.895256,1210.927311,490.013409,87.04089243,759.6670737,1321.657318,889.421513,119.1203257,425.1943364,2213.647092,1591.009314,151.2989694,702.5568048,651.5892118,218.1666454,0,397.1173683,4129.473305,986.1523318,186.1510761,163.5884717,4710.55183,1452.29991,206.2819229,122.6408106,3032.742226,1343.310948,200.0832368,1482.300885,10475.50244,3872.268482,413.6202194,6709.542014,2316.461347,1368.189528,185.3192434,1245.656735,3012.520924,1735.310042,152.1710259,1161.982104,0.012134882,0.018155946,0.001108544,0.032290268,0.013401559,0.021615074,0.000934387,0.049181629,0.010814878,0.025760772,0.000554667,0.034853008,0.009429465,0.024934301,0.000915674,0.037336735,0.015488913,0.026164216,0.001227155,0.071698859,0.018777196,0.050495458,0.00163638,0.047694451,0.017872905,0.032082616,0.002048779,0.024908994,0.009487058,0.023590204,0,0.017419199,0.01719664,0.030365903,0.001566166,0.071850855,0.01775839,0.048659694,0.002032524,0.045587215,0.014323824,0.028684794,0.001534753,0.025561652,0.006884325,0.009786085,0,0.01708092,0.011182427,0.018505441,0.00084257,0.002820763,0.010648191,0.028694969,0.000907926,0.001451903
1,17,Alabama,385.2,170.8,10,372,424.8,189.6,10,225.2,1780.8,907.2,30.4,1740.8,1705.6,752,40,913.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424,190,9,11,418,188,11,11,,,,,,,,,,,,,,,,,0.003193079,0.009280264,0.000101732,0.00055371,0.003334088,0.010154346,0.000122606,0.000440025,0.002715431,0.009442143,9.68E-05,0.000420757,0.002674373,0.009268795,0.000160022,0.000339997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003263583,0.009717305,0.000112169,0.000496867,0.002694902,0.009355469,0.000128424,0.000380377,,,,,,,,,,,,,,,,,1122.734976,436.9940377,25.40764897,936.1304389,1135.034837,481.9828457,27.83169129,649.5723113,4815.966359,2636.657462,82.29388375,5184.98492,4283.255683,2147.938677,120.5449326,2676.825735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1060.806885,571.4879268,25.93408733,27.96856641,1080.460076,473.7002227,32.020132,33.15013695,,,,,,,,,,,,,,,,,0.003556758,0.00842711,0.000128491,0.008385929,0.003485163,0.010116332,0.00011836,0.030358027,0.002632247,0.011208145,7.94605E-05,0.009618704,0.002298171,0.009249541,0.000134446,0.021631096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002872617,0.01072414,0.000117385,0.000482263,0.002442377,0.009359508,0.000140933,0.000392453
1,19,Alabama,332.4,15.2,12,318,326.8,19.2,6,301.6,1067.2,22.4,22.4,1044.8,1222.4,73.6,22.4,1126.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,20,7,12,277,11,6.00E+00,6,,,,,,,,,,,,,,,,,0.00257963,0.000928026,0.000127165,0.00055371,0.00253451,0.001116978,4.90E-05,0.00052803,0.001744697,0.000385394,7.26E-05,0.000210379,0.001825164,0.000720906,6.86E-05,0.000203998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00255707,0.001022502,8.81E-05,0.00054087,0.001784931,0.00055315,7.06E-05,0.000207189,,,,,,,,,,,,,,,,,929.1279783,41.0341523,32.26826184,941.5427417,859.8924682,53.27920626,16.32386288,757.0378572,3120.023756,59.99950241,68.20369689,2693.3767,3408.546517,190.5600474,60.41890243,3389.245478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,920.453987,59.47423316,19.99955386,33.94206138,744.4422879,30.21560201,15.6697029,16.09801065,,,,,,,,,,,,,,,,,0.002943423,0.000791314,0.000163187,0.008434413,0.002640329,0.001118277,6.94204E-05,0.031305233,0.001705301,0.000255051,6.58554E-05,0.004996503,0.001828848,0.000820597,6.73861E-05,0.022838468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002492548,0.001116052,9.05233E-05,0.000585264,0.00168281,0.000597009,6.89684E-05,0.000190579
